id,record_type,title,year,authors,journal_or_publisher,pmid,pmcid,doi,source_database,url,study_type,clinical_topic,drugs,adverse_effects,population,open_access,full_text_status,priority,verification_status
TB-A046,article,Ethambutol optic neuropathy in the extended anti-tubercular therapy regime: a systematic review,2023,Sabhapandit S et al.,Indian Journal of Ophthalmology,36872667.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/36872667/,Systematic review,Ethambutol optic neuropathy,Ethambutol,Optic neuropathy; visual acuity loss; colour vision impairment,People receiving prolonged ethambutol therapy,Open-access status to verify,Reference verified,A,Verified PubMed
TB-A047,article,Ethambutol-induced optic neuropathy: from in vitro mechanisms to clinical studies,2023,Kulniwatcharoen P et al.,Journal pending enrichment,37949203.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/37949203/,Review,"Mechanisms, diagnosis, monitoring and outcomes of ethambutol optic neuropathy",Ethambutol,Optic neuropathy,People exposed to ethambutol,Unknown in this dataset,Reference verified; metadata enrichment pending,A,Verified PubMed
TB-G014,guideline,WHO TB Knowledge Sharing Platform: Adjustments to antiretroviral therapy regimens with TB treatment,2025,World Health Organization,World Health Organization,,,,WHO,https://tbksp.who.int/en/node/2084,Clinical/operational guidance,TB/HIV drug-drug interactions,Rifampicin; dolutegravir; antiretroviral therapy,Reduced antiretroviral exposure / treatment interaction,People with TB/HIV coinfection,Yes,Official WHO web guidance,A,Verified official WHO source
TB-G015,guideline,"CDC Guidelines for the Treatment of Latent Tuberculosis Infection: Recommendations from NTCA and CDC, 2020",2020,Sterling TR et al.,MMWR Recommendations and Reports,32053584.0,,,PubMed/MEDLINE; CDC,https://www.cdc.gov/mmwr/volumes/69/rr/rr6901a1.htm,Clinical guideline,Rifamycin drug interactions during latent TB treatment,Rifampin; rifapentine; rifabutin,Drug-drug interactions,People receiving treatment for latent TB infection,Yes,Official CDC publication,A,Verified CDC/PubMed
TB-G016,guideline,CDC Adverse Events During TB Treatment,2025,Centers for Disease Control and Prevention,CDC,,,,CDC,https://www.cdc.gov/tb/hcp/treatment/adverse-events.html,Clinical safety guidance,Rifamycin interactions and adverse-event counselling,Rifampin; rifapentine,"Reduced concentrations of oral contraceptives, warfarin and other drugs",People receiving TB treatment,Yes,Official CDC web guidance,A,Verified official CDC source
TB-A048,article,Tuberculosis and pharmacological interactions: A narrative review,2020,Riccardi N et al.,Current Research in Pharmacology and Drug Discovery / metadata pending final enrichment,,PMC8663953,,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8663953/,Narrative review,Clinically relevant interactions between anti-TB medicines and common concomitant drugs,Rifampicin; isoniazid; linezolid; fluoroquinolones; bedaquiline and others,Drug-drug interactions; altered exposure; toxicity or loss of efficacy,People receiving anti-TB treatment,Yes (PMC),PMC available,A,Verified PMC
TB-A049,article,Systematic review of drug-drug interactions between rifamycins and anticoagulant or antiplatelet agents,2022,Authors pending enrichment,Journal pending enrichment,35152432.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/35152432/,Systematic review,Rifamycin interactions with anticoagulants and antiplatelets,Rifampin; rifabutin; warfarin; DOACs; clopidogrel; ticagrelor,Reduced anticoagulant exposure or altered antiplatelet effect,Patients receiving rifamycins and antithrombotic therapy,Unknown in this dataset,Reference verified,A,Verified PubMed
TB-A050,article,Drug interactions between rifamycin antibiotics and hormonal contraception: a systematic review,2018,Simmons KB et al.,BJOG,29130574.0,,,PubMed/MEDLINE; CDC,https://pubmed.ncbi.nlm.nih.gov/29130574/,Systematic review,Rifamycin-hormonal contraception interactions,Rifampin; rifabutin; hormonal contraceptives,Reduced contraceptive hormone exposure / possible reduced effectiveness,People using hormonal contraception with rifamycins,Unknown in this dataset,Reference verified,A,Verified PubMed
TB-A051,article,Drug interaction potential of high-dose rifampicin in patients with pulmonary tuberculosis,2023,Stemkens R et al.,Clinical Pharmacokinetics / metadata pending final enrichment,37768317.0,PMC10583668,,PubMed/MEDLINE; PMC,https://pubmed.ncbi.nlm.nih.gov/37768317/,Clinical pharmacology study,Rifampicin induction of CYP enzymes and P-glycoprotein,Rifampicin,Reduced exposure of interacting drugs,Patients with pulmonary tuberculosis,Yes (PMC),PMC available,A,Verified PubMed/PMC
TB-A052,article,Association of Linezolid With Risk of Serotonin Syndrome in Patients Receiving Antidepressants,2022,Bai AD et al.,JAMA Network Open,36534400.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/36534400/,Population-based cohort study,Linezolid-serotonergic drug interaction,Linezolid; antidepressants/serotonergic medicines,Serotonin syndrome,Older adults prescribed linezolid,Open-access journal,Reference verified,A,Verified PubMed
TB-A053,article,The Association of Serotonin Toxicity with Combination Linezolid-Serotonergic Agent Therapy,2023,SanFilippo S et al.,Journal pending enrichment,37987392.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/37987392/,Observational study,Incidence of serotonin toxicity with linezolid and serotonergic agents,Linezolid; serotonergic agents,Serotonin toxicity,Patients receiving linezolid with or without serotonergic drugs,Unknown in this dataset,Reference verified,B,Verified PubMed
TB-G017,guideline,WHO TB Knowledge Sharing Platform: Treatment of drug-susceptible TB in special situations — chronic renal failure,2025,World Health Organization,World Health Organization,,,,WHO,https://tbksp.who.int/en/node/3025,Clinical/operational guidance,Drug-susceptible TB treatment in chronic renal failure and hemodialysis,Pyrazinamide; ethambutol; rifapentine; moxifloxacin,Drug accumulation; electrolyte disturbances; QT risk,"Adults with TB and chronic renal failure, including hemodialysis",Yes,Official WHO web guidance,A,Verified official WHO source
TB-G018,guideline,WHO TB Knowledge Sharing Platform: Tuberculosis medicine information sheets,2025,World Health Organization,World Health Organization,,,,WHO,https://tbksp.who.int/en/node/3050,Drug information annex,"Drug-specific pharmacokinetics, safety and dosing information",Ethambutol; pyrazinamide; levofloxacin; cycloserine; amikacin; streptomycin; others,Renal accumulation; nephrotoxicity; neurotoxicity; ototoxicity,People receiving TB treatment,Yes,Official WHO web guidance,A,Verified official WHO source
TB-G019,guideline,WHO TB Knowledge Sharing Platform: Treatment of drug-resistant TB using 6-month regimens,2025,World Health Organization,World Health Organization,,,,WHO,https://tbksp.who.int/en/node/3033,Clinical/operational guidance,Renal impairment considerations in 6-month DR-TB regimens,Levofloxacin; linezolid; clofazimine; delamanid,Drug accumulation and toxicity in renal impairment,"People with DR-TB, including renal impairment",Yes,Official WHO web guidance,A,Verified official WHO source
TB-G020,guideline,CDC Core Curriculum on Tuberculosis: What the Clinician Should Know — renal insufficiency and end-stage renal disease,2021,Centers for Disease Control and Prevention,CDC,,,,CDC,https://www.cdc.gov/tb/media/Core_Curriculum_TB_eBook.pdf,Clinical educational guideline,TB treatment in renal insufficiency and hemodialysis,Multiple anti-TB drugs,Drug accumulation and toxicity,Patients with renal insufficiency or ESRD requiring hemodialysis,Yes,Official CDC PDF,A,Verified official CDC source
TB-A054,article,Optimal dose suggestion based on renal function for levofloxacin in patients with tuberculosis,2025,Cho YS et al.,Journal pending enrichment,40738019.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/40738019/,Population pharmacokinetic/pharmacodynamic study,Levofloxacin dosing by renal function in TB,Levofloxacin,Potential overexposure in renal impairment,Patients with tuberculosis receiving levofloxacin,Unknown in this dataset,Reference verified; metadata enrichment pending,A,Verified PubMed
TB-A055,article,"The effect of hemodialysis on isoniazid, rifampin, pyrazinamide, and ethambutol",1999,Malone RS et al.,American Journal of Respiratory and Critical Care Medicine,10228130.0,,10.1164/ajrccm.159.5.9810034,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/10228130/,Pharmacokinetic hemodialysis study,Dialyzability of first-line anti-TB drugs,Isoniazid; rifampin; pyrazinamide; ethambutol,Subtherapeutic exposure or accumulation around dialysis,Chronic hemodialysis patients,Unknown,Reference verified; outside primary 2016–2026 window but retained as foundational PK evidence cited in later guidance,B,Verified PubMed; foundational older evidence
TB-G021,guideline,CDC Tuberculosis Clinical Care and Treatment During Pregnancy,2025,Centers for Disease Control and Prevention,CDC,,,,CDC,https://www.cdc.gov/tb/hcp/clinical-care/pregnancy.html,Clinical guidance,TB treatment during pregnancy and breastfeeding,Isoniazid; rifampin; ethambutol; pyrazinamide; second-line TB drugs,Pregnancy-specific safety; hepatotoxicity; fetal/neonatal exposure,Pregnant and breastfeeding people with TB,Yes,Official CDC web guidance,A,Verified official CDC source
TB-G022,guideline,WHO TB Knowledge Sharing Platform: 6-month BPaLM/BPaL regimens — pregnancy and breastfeeding eligibility,2025,World Health Organization,World Health Organization,,,,WHO,https://tbksp.who.int/en/node/3033,Clinical/operational guidance,Drug-resistant TB treatment in pregnancy and breastfeeding,Bedaquiline; pretomanid; linezolid; moxifloxacin; delamanid; levofloxacin; clofazimine,Insufficient pregnancy/lactation safety data for BPaLM/BPaL,Pregnant and breastfeeding people with MDR/RR-TB,Yes,Official WHO web guidance,A,Verified official WHO source
TB-G023,guideline,CDC Treatment for Latent Tuberculosis Infection,2025,Centers for Disease Control and Prevention,CDC,,,,CDC,https://www.cdc.gov/tb/hcp/treatment/latent-tuberculosis-infection.html,Clinical guidance,LTBI treatment options and pregnancy considerations,Isoniazid; rifampin; rifapentine,Hepatotoxicity; drug interactions; pregnancy considerations,People receiving latent TB infection treatment,Yes,Official CDC web guidance,A,Verified official CDC source
TB-A056,article,"Pregnancy Outcomes after Exposure to Tuberculosis Treatment in Phase 3 Clinical Trial, 2016-2020",2025,Kurbatova EV et al.,Emerging Infectious Diseases,41490808,PMC12782182,10.3201/eid3112.250492,PubMed/MEDLINE; PMC,https://pubmed.ncbi.nlm.nih.gov/41490808/,Pregnancy outcomes analysis from phase III clinical trial,Pregnancy exposure to rifapentine/moxifloxacin and standard TB regimens,Rifapentine; moxifloxacin; pyrazinamide; isoniazid; standard regimen,Fetal loss; congenital anomalies; maternal outcomes,Women who became pregnant during TBTC Study 31/ACTG A5349,Yes (PMC),PMC available,A,Verified PubMed/PMC/DOI
